TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
thyroid-other-neoplasm	thyroid-other-neoplasm	0.0780871501690375	-2.5499297661592	8018	10	0.666666666666667	15	17775	9668,217,4241,647219,3164,1287,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,ASCL5,NR4A1,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
chondrosarcoma	chondrosarcoma	0.0791563635461637	-2.53633009732514	1221	3	0.2	15	17775	26047,5352,54843	CNTNAP2,PLOD2,SYTL2
chondroblastoma	chondroblastoma	0.0793787427122236	-2.53352467060093	560	2	0.133333333333333	15	17775	26047,5352	CNTNAP2,PLOD2
carcinoid-endocrine_tumour	carcinoid-endocrine_tumour	0.0855576538068134	-2.45856481675666	8129	10	0.666666666666667	15	17775	9668,4241,5352,3164,84969,81831,256979,1287,26047,25924	ZNF432,MFI2,PLOD2,NR4A1,TOX2,NETO2,SUN3,COL4A5,CNTNAP2,MYRIP
lung-left_upper_lobe-carcinoma-adenocarcinoma	lung-left_upper_lobe-carcinoma-adenocarcinoma	0.0858465445214506	-2.45519394263566	586	2	0.133333333333333	15	17775	26047,84969	CNTNAP2,TOX2
left_upper_lobe	left_upper_lobe	0.0863508957260909	-2.44933610124011	588	2	0.133333333333333	15	17775	26047,84969	CNTNAP2,TOX2
follicular_lymphoma	follicular_lymphoma	0.0867211279162388	-2.44505773496119	1269	3	0.2	15	17775	26047,5352,25924	CNTNAP2,PLOD2,MYRIP
right_lower_lobe	right_lower_lobe	0.089152312960485	-2.41740899041633	5938	8	0.533333333333333	15	17775	4241,5352,3164,84969,1287,51313,26047,25924	MFI2,PLOD2,NR4A1,TOX2,COL4A5,FAM198B,CNTNAP2,MYRIP
lung-right_lower_lobe-carcinoma-adenocarcinoma	lung-right_lower_lobe-carcinoma-adenocarcinoma	0.089152312960485	-2.41740899041633	5938	8	0.533333333333333	15	17775	4241,5352,3164,84969,1287,51313,26047,25924	MFI2,PLOD2,NR4A1,TOX2,COL4A5,FAM198B,CNTNAP2,MYRIP
myelodysplastic-myeloproliferative_neoplasm-unclassifiable	myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.0904918046297116	-2.40249598895452	112	1	0.0666666666666667	15	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-myelodysplastic-myeloproliferative_neoplasm-unclassifiable	0.0904918046297116	-2.40249598895452	112	1	0.0666666666666667	15	17775	2122	MECOM
prostate-carcinoma	prostate-carcinoma	0.0906652407180224	-2.40058122885268	9403	11	0.733333333333333	15	17775	217,5352,3164,84969,81831,256979,1287,26047,25924,54843,2122	ALDH2,PLOD2,NR4A1,TOX2,NETO2,SUN3,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
soft_tissue-striated_muscle-rhabdomyosarcoma	soft_tissue-striated_muscle-rhabdomyosarcoma	0.0919608580116553	-2.3863922488604	610	2	0.133333333333333	15	17775	1287,81831	COL4A5,NETO2
mouth	mouth	0.0920278555771107	-2.38566396974904	9422	11	0.733333333333333	15	17775	9668,217,4241,5352,3164,81831,1287,51313,26047,25924,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,NETO2,COL4A5,FAM198B,CNTNAP2,MYRIP,MECOM
plasma_cell_myeloma	plasma_cell_myeloma	0.0954395123187039	-2.34926261102632	1322	3	0.2	15	17775	26047,54843,2122	CNTNAP2,SYTL2,MECOM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-plasma_cell_myeloma	0.0954395123187039	-2.34926261102632	1322	3	0.2	15	17775	26047,54843,2122	CNTNAP2,SYTL2,MECOM
meninges-meningioma-secretory	meninges-meningioma-secretory	0.0966537610967058	-2.33662015947858	120	1	0.0666666666666667	15	17775	5352	PLOD2
secretory	secretory	0.0966537610967058	-2.33662015947858	120	1	0.0666666666666667	15	17775	5352	PLOD2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	0.0968836060880166	-2.33424495821681	3979	6	0.4	15	17775	1287,26047,4241,5352,25924,84969	COL4A5,CNTNAP2,MFI2,PLOD2,MYRIP,TOX2
acute_lymphoblastic_B_cell_leukaemia	acute_lymphoblastic_B_cell_leukaemia	0.0968836060880166	-2.33424495821681	3979	6	0.4	15	17775	1287,26047,4241,5352,25924,84969	COL4A5,CNTNAP2,MFI2,PLOD2,MYRIP,TOX2
skin-trunk-malignant_melanoma-nodular	skin-trunk-malignant_melanoma-nodular	0.096957156044136	-2.33348608831927	1331	3	0.2	15	17775	25924,81831,2122	MYRIP,NETO2,MECOM
scalp	scalp	0.103071238376252	-2.27233489510067	2188	4	0.266666666666667	15	17775	9668,51313,54843,2122	ZNF432,FAM198B,SYTL2,MECOM
Burkitt_lymphoma	Burkitt_lymphoma	0.105243882677439	-2.25147492993835	2204	4	0.266666666666667	15	17775	26047,5352,25924,81831	CNTNAP2,PLOD2,MYRIP,NETO2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-Burkitt_lymphoma	0.105243882677439	-2.25147492993835	2204	4	0.266666666666667	15	17775	26047,5352,25924,81831	CNTNAP2,PLOD2,MYRIP,NETO2
astrocytoma_Grade_I	astrocytoma_Grade_I	0.115659668436917	-2.15710329296102	145	1	0.0666666666666667	15	17775	26047	CNTNAP2
soft_tissue-blood_vessel-angiosarcoma	soft_tissue-blood_vessel-angiosarcoma	0.116447927941581	-2.15031107635599	2284	4	0.266666666666667	15	17775	26047,25924,84969,2122	CNTNAP2,MYRIP,TOX2,MECOM
angiosarcoma	angiosarcoma	0.116447927941581	-2.15031107635599	2284	4	0.266666666666667	15	17775	26047,25924,84969,2122	CNTNAP2,MYRIP,TOX2,MECOM
