TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
soft_tissue-blood_vessel-angiosarcoma	soft_tissue-blood_vessel-angiosarcoma	0.338090330750942	-1.0844421684618	2284	1	0.333333333333333	3	17775	2122	MECOM
angiosarcoma	angiosarcoma	0.338090330750942	-1.0844421684618	2284	1	0.333333333333333	3	17775	2122	MECOM
blood_vessel	blood_vessel	0.34039514700037	-1.07764813914022	2302	1	0.333333333333333	3	17775	2122	MECOM
upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-mouth-carcinoma-squamous_cell_carcinoma	0.364920160456988	-1.0080766878004	7269	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
alveolar	alveolar	0.366766059123442	-1.00303107526005	2511	1	0.333333333333333	3	17775	5352	PLOD2
soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	0.366766059123442	-1.00303107526005	2511	1	0.333333333333333	3	17775	5352	PLOD2
lymphoid_neoplasm	lymphoid_neoplasm	0.378144679170418	-0.972478407464223	12854	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	central_nervous_system-brainstem-glioma-astrocytoma_Grade_IV	0.381462157943716	-0.963743625985642	2630	1	0.333333333333333	3	17775	5352	PLOD2
stomach-carcinoma-intestinal_adenocarcinoma	stomach-carcinoma-intestinal_adenocarcinoma	0.386327625696594	-0.951069498285218	7530	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
intestinal_adenocarcinoma	intestinal_adenocarcinoma	0.386327625696594	-0.951069498285218	7530	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
prostate-carcinoma-adenocarcinoma	prostate-carcinoma-adenocarcinoma	0.391719815164629	-0.937208451985498	13006	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
large_intestine-colon-carcinoma	large_intestine-colon-carcinoma	0.392182373659952	-0.936028308453302	2718	1	0.333333333333333	3	17775	256979	SUN3
pancreas-carcinoid-endocrine_tumour	pancreas-carcinoid-endocrine_tumour	0.392600056517338	-0.934963853183246	7606	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	0.397314811968496	-0.923026335284675	7663	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
